iter	Passed	Remaining
0	0	85
1	1	87
2	2	84
3	3	78
4	4	78
5	4	78
6	5	74
7	6	72
8	7	71
9	7	70
10	8	69
11	9	68
12	10	67
13	10	66
14	11	64
15	12	63
16	12	62
17	13	61
18	14	59
19	14	58
20	15	57
21	16	56
22	16	55
23	17	54
24	17	53
25	18	52
26	18	51
27	19	50
28	20	49
29	20	48
30	21	47
31	21	46
32	22	45
33	22	44
34	23	43
35	23	42
36	24	41
37	25	40
38	25	39
39	26	39
40	26	38
41	26	37
42	27	36
43	27	35
44	28	34
45	28	34
46	29	33
47	30	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	58	0
